country,country_code_2_digit,country_code_3_digit,population,daily_count,reported_date,confirmed cases_count,deaths_count,source
Cyprus,CY,CYP,875899,26,2020-08-03,26,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,12,2020-06-23,,12,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,1,2020-09-03,,1,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,471,2020-07-18,471,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,229,2020-08-14,229,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,6,2020-07-02,,6,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,57,2020-08-27,57,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,2020-03-29,0,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,1,2020-03-30,,1,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,2020-02-29,,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-08-29,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,25,2020-04-26,25,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,33,2020-03-18,33,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,373,2020-08-11,373,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,11,2020-10-01,,11,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,14,2020-04-21,14,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-10-20,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,529,2020-04-02,529,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,6,2020-07-12,,6,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,11,2020-03-17,11,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,2020-05-05,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2,2020-07-01,,2,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,139,2020-08-06,139,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,1,2020-06-07,,1,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,2020-08-13,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,2020-03-06,1,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-07-02,,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,297,2020-10-22,297,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,17,2020-04-12,17,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,237,2020-05-02,237,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,20,2020-06-22,20,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-07-01,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,138,2020-08-12,138,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,2020-06-08,,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,33,2020-10-10,33,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,2020-01-10,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,336,2020-06-13,336,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,2020-03-16,,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2,2020-04-08,,2,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,491,2020-06-22,491,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,6,2020-05-22,6,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,2020-03-10,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,1,2020-06-22,1,,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,2020-03-08,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,6,2020-06-21,6,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,14,2020-06-14,14,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,6,2020-03-17,6,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-10-02,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,159,2020-10-23,159,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,0,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,105,2020-08-29,105,,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,6,2020-08-19,,6,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,1,2020-08-04,,1,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-07-05,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,11,2020-10-11,,11,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,162,2020-05-20,,162,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-10-19,,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,10,2020-05-16,10,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,57,2020-07-05,57,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-09-12,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-01-30,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,2020-02-10,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-09-08,,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-07-12,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-02-22,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,2020-07-15,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,2020-08-18,1,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-01-03,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-06-29,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,10,2020-05-23,10,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,4,2020-04-21,4,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,0,2020-02-16,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1247,2020-03-08,1247,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,0,2020-01-14,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,1186,2020-10-20,1186,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-10-16,,0,"Epidemic intelligence, national daily data"
